Prompt_ID,Repetition,Human_Grade,Auto_Grade,Ground_Truth
PROMPT_0001,1,highly satisfying,highly satisfying,slightly unsatisfying
PROMPT_0001,2,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0001,3,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0002,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0002,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0002,3,highly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0003,1,highly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0003,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0003,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0004,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0004,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0004,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0005,1,highly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0005,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0005,3,highly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0006,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0006,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0006,3,highly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0007,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0007,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0007,3,slightly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0008,1,slightly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0008,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0008,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0009,1,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0009,2,highly satisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0009,3,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0010,1,highly unsatisfying,slightly unsatisfying,highly satisfying
PROMPT_0010,2,highly satisfying,slightly unsatisfying,highly satisfying
PROMPT_0010,3,slightly satisfying,slightly unsatisfying,highly satisfying
PROMPT_0011,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0011,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0011,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0012,1,slightly unsatisfying,highly satisfying,highly satisfying
PROMPT_0012,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0012,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0013,1,slightly unsatisfying,highly unsatisfying,slightly unsatisfying
PROMPT_0013,2,slightly unsatisfying,highly unsatisfying,slightly unsatisfying
PROMPT_0013,3,slightly unsatisfying,highly unsatisfying,slightly unsatisfying
PROMPT_0014,1,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0014,2,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0014,3,highly satisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0015,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0015,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0015,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0016,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0016,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0016,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0017,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0017,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0017,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0018,1,slightly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0018,2,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0018,3,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0019,1,highly unsatisfying,slightly satisfying,highly unsatisfying
PROMPT_0019,2,highly unsatisfying,slightly satisfying,highly unsatisfying
PROMPT_0019,3,highly unsatisfying,slightly satisfying,highly unsatisfying
PROMPT_0020,1,slightly satisfying,highly unsatisfying,slightly satisfying
PROMPT_0020,2,highly satisfying,highly unsatisfying,slightly satisfying
PROMPT_0020,3,highly unsatisfying,highly unsatisfying,slightly satisfying
PROMPT_0021,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0021,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0021,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0022,1,highly satisfying,highly unsatisfying,highly satisfying
PROMPT_0022,2,highly satisfying,highly unsatisfying,highly satisfying
PROMPT_0022,3,highly satisfying,highly unsatisfying,highly satisfying
PROMPT_0023,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0023,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0023,3,slightly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0024,1,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0024,2,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0024,3,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0025,1,highly unsatisfying,slightly satisfying,highly satisfying
PROMPT_0025,2,highly satisfying,slightly satisfying,highly satisfying
PROMPT_0025,3,highly unsatisfying,slightly satisfying,highly satisfying
PROMPT_0026,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0026,2,slightly satisfying,highly satisfying,highly satisfying
PROMPT_0026,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0027,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0027,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0027,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0028,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0028,2,highly satisfying,highly unsatisfying,highly unsatisfying
PROMPT_0028,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0029,1,slightly unsatisfying,highly satisfying,highly unsatisfying
PROMPT_0029,2,slightly satisfying,highly satisfying,highly unsatisfying
PROMPT_0029,3,slightly satisfying,highly satisfying,highly unsatisfying
PROMPT_0030,1,highly satisfying,highly unsatisfying,highly unsatisfying
PROMPT_0030,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0030,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0031,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0031,2,slightly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0031,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0032,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0032,2,highly unsatisfying,highly satisfying,highly satisfying
PROMPT_0032,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0033,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0033,2,slightly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0033,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0034,1,slightly satisfying,highly unsatisfying,slightly satisfying
PROMPT_0034,2,slightly satisfying,highly unsatisfying,slightly satisfying
PROMPT_0034,3,highly satisfying,highly unsatisfying,slightly satisfying
PROMPT_0035,1,slightly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0035,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0035,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0036,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0036,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0036,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0037,1,slightly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0037,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0037,3,slightly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0038,1,slightly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0038,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0038,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0039,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0039,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0039,3,highly satisfying,highly unsatisfying,highly unsatisfying
PROMPT_0040,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0040,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0040,3,slightly unsatisfying,highly satisfying,highly satisfying
PROMPT_0041,1,slightly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0041,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0041,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0042,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0042,2,slightly satisfying,highly satisfying,highly satisfying
PROMPT_0042,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0043,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0043,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0043,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0044,1,slightly satisfying,highly satisfying,highly unsatisfying
PROMPT_0044,2,highly unsatisfying,highly satisfying,highly unsatisfying
PROMPT_0044,3,highly unsatisfying,highly satisfying,highly unsatisfying
PROMPT_0045,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0045,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0045,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0046,1,highly satisfying,highly satisfying,slightly satisfying
PROMPT_0046,2,slightly satisfying,highly satisfying,slightly satisfying
PROMPT_0046,3,slightly satisfying,highly satisfying,slightly satisfying
PROMPT_0047,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0047,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0047,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0048,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0048,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0048,3,highly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0049,1,slightly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0049,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0049,3,highly satisfying,slightly satisfying,slightly satisfying
PROMPT_0050,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0050,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0050,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0051,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0051,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0051,3,highly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0052,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0052,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0052,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0053,1,slightly satisfying,highly unsatisfying,slightly satisfying
PROMPT_0053,2,slightly satisfying,highly unsatisfying,slightly satisfying
PROMPT_0053,3,slightly satisfying,highly unsatisfying,slightly satisfying
PROMPT_0054,1,slightly unsatisfying,slightly satisfying,slightly unsatisfying
PROMPT_0054,2,slightly satisfying,slightly satisfying,slightly unsatisfying
PROMPT_0054,3,highly unsatisfying,slightly satisfying,slightly unsatisfying
PROMPT_0055,1,highly unsatisfying,highly unsatisfying,highly satisfying
PROMPT_0055,2,slightly unsatisfying,highly unsatisfying,highly satisfying
PROMPT_0055,3,highly satisfying,highly unsatisfying,highly satisfying
PROMPT_0056,1,slightly unsatisfying,highly satisfying,highly satisfying
PROMPT_0056,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0056,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0057,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0057,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0057,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0058,1,slightly unsatisfying,highly satisfying,highly satisfying
PROMPT_0058,2,slightly satisfying,highly satisfying,highly satisfying
PROMPT_0058,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0059,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0059,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0059,3,slightly satisfying,highly satisfying,highly satisfying
PROMPT_0060,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0060,2,slightly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0060,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0061,1,slightly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0061,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0061,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0062,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0062,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0062,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0063,1,slightly unsatisfying,highly unsatisfying,slightly unsatisfying
PROMPT_0063,2,highly satisfying,highly unsatisfying,slightly unsatisfying
PROMPT_0063,3,slightly unsatisfying,highly unsatisfying,slightly unsatisfying
PROMPT_0064,1,highly unsatisfying,highly satisfying,highly satisfying
PROMPT_0064,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0064,3,slightly unsatisfying,highly satisfying,highly satisfying
PROMPT_0065,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0065,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0065,3,highly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0066,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0066,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0066,3,highly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0067,1,highly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0067,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0067,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0068,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0068,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0068,3,highly satisfying,highly unsatisfying,highly unsatisfying
PROMPT_0069,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0069,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0069,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0070,1,highly unsatisfying,slightly satisfying,slightly unsatisfying
PROMPT_0070,2,slightly unsatisfying,slightly satisfying,slightly unsatisfying
PROMPT_0070,3,highly unsatisfying,slightly satisfying,slightly unsatisfying
PROMPT_0071,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0071,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0071,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0072,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0072,2,slightly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0072,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0073,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0073,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0073,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0074,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0074,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0074,3,slightly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0075,1,slightly satisfying,slightly unsatisfying,slightly satisfying
PROMPT_0075,2,highly satisfying,slightly unsatisfying,slightly satisfying
PROMPT_0075,3,slightly satisfying,slightly unsatisfying,slightly satisfying
PROMPT_0076,1,slightly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0076,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0076,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0077,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0077,2,highly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0077,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0078,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0078,2,slightly unsatisfying,highly satisfying,highly satisfying
PROMPT_0078,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0079,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0079,2,slightly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0079,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0080,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0080,2,highly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0080,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0081,1,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0081,2,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0081,3,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0082,1,highly satisfying,highly unsatisfying,highly satisfying
PROMPT_0082,2,highly unsatisfying,highly unsatisfying,highly satisfying
PROMPT_0082,3,highly unsatisfying,highly unsatisfying,highly satisfying
PROMPT_0083,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0083,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0083,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0084,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0084,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0084,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0085,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0085,2,highly satisfying,slightly satisfying,slightly satisfying
PROMPT_0085,3,highly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0086,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0086,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0086,3,highly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0087,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0087,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0087,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0088,1,slightly unsatisfying,slightly satisfying,slightly unsatisfying
PROMPT_0088,2,slightly unsatisfying,slightly satisfying,slightly unsatisfying
PROMPT_0088,3,highly satisfying,slightly satisfying,slightly unsatisfying
PROMPT_0089,1,slightly unsatisfying,highly satisfying,highly unsatisfying
PROMPT_0089,2,highly unsatisfying,highly satisfying,highly unsatisfying
PROMPT_0089,3,slightly unsatisfying,highly satisfying,highly unsatisfying
PROMPT_0090,1,highly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0090,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0090,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0091,1,slightly satisfying,slightly unsatisfying,slightly satisfying
PROMPT_0091,2,slightly satisfying,slightly unsatisfying,slightly satisfying
PROMPT_0091,3,slightly satisfying,slightly unsatisfying,slightly satisfying
PROMPT_0092,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0092,2,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0092,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0093,1,highly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0093,2,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0093,3,slightly unsatisfying,highly satisfying,slightly unsatisfying
PROMPT_0094,1,highly satisfying,highly unsatisfying,highly satisfying
PROMPT_0094,2,highly unsatisfying,highly unsatisfying,highly satisfying
PROMPT_0094,3,highly satisfying,highly unsatisfying,highly satisfying
PROMPT_0095,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0095,2,slightly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0095,3,highly satisfying,highly unsatisfying,highly unsatisfying
PROMPT_0096,1,highly satisfying,slightly satisfying,slightly satisfying
PROMPT_0096,2,highly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0096,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0097,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0097,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0097,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0098,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0098,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0098,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0099,1,highly satisfying,highly satisfying,highly satisfying
PROMPT_0099,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0099,3,highly satisfying,highly satisfying,highly satisfying
PROMPT_0100,1,highly unsatisfying,slightly satisfying,highly unsatisfying
PROMPT_0100,2,highly unsatisfying,slightly satisfying,highly unsatisfying
PROMPT_0100,3,highly satisfying,slightly satisfying,highly unsatisfying
PROMPT_0101,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0101,2,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0101,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0102,1,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0102,2,slightly unsatisfying,slightly satisfying,slightly satisfying
PROMPT_0102,3,slightly satisfying,slightly satisfying,slightly satisfying
PROMPT_0103,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0103,2,slightly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0103,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0104,1,slightly satisfying,slightly unsatisfying,slightly satisfying
PROMPT_0104,2,slightly unsatisfying,slightly unsatisfying,slightly satisfying
PROMPT_0104,3,slightly satisfying,slightly unsatisfying,slightly satisfying
PROMPT_0105,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0105,2,highly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0105,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0106,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0106,2,highly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0106,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0107,1,slightly unsatisfying,highly unsatisfying,slightly unsatisfying
PROMPT_0107,2,slightly unsatisfying,highly unsatisfying,slightly unsatisfying
PROMPT_0107,3,slightly unsatisfying,highly unsatisfying,slightly unsatisfying
PROMPT_0108,1,slightly satisfying,highly unsatisfying,highly unsatisfying
PROMPT_0108,2,highly satisfying,highly unsatisfying,highly unsatisfying
PROMPT_0108,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0109,1,highly satisfying,slightly unsatisfying,highly satisfying
PROMPT_0109,2,highly satisfying,slightly unsatisfying,highly satisfying
PROMPT_0109,3,slightly unsatisfying,slightly unsatisfying,highly satisfying
PROMPT_0110,1,highly satisfying,highly unsatisfying,highly unsatisfying
PROMPT_0110,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0110,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0111,1,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0111,2,slightly satisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0111,3,slightly unsatisfying,slightly unsatisfying,slightly unsatisfying
PROMPT_0112,1,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0112,2,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0112,3,highly unsatisfying,highly unsatisfying,highly unsatisfying
PROMPT_0113,1,highly unsatisfying,highly satisfying,highly unsatisfying
PROMPT_0113,2,highly unsatisfying,highly satisfying,highly unsatisfying
PROMPT_0113,3,highly unsatisfying,highly satisfying,highly unsatisfying
PROMPT_0114,1,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0114,2,slightly satisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0114,3,highly unsatisfying,slightly unsatisfying,highly unsatisfying
PROMPT_0115,1,highly unsatisfying,highly satisfying,highly satisfying
PROMPT_0115,2,highly satisfying,highly satisfying,highly satisfying
PROMPT_0115,3,slightly unsatisfying,highly satisfying,highly satisfying
PROMPT_0116,1,slightly satisfying,slightly satisfying,slightly satisfying
